what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1356601656788
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1356601656839
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1356601656891
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1356601657048
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356601657088
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1356601657229
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1356601657362
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1356601657507
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1356601657608
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1356601657714
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1356601657759
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1356601657759
os,sysinfo,,,"win32",1356601657766
arch,sysinfo,,,"x86",1356601657766
ws,sysinfo,,,"win32",1356601657766
locale,sysinfo,,,"en_IN",1356601657766
processors,sysinfo,,,"2",1356601657766
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356601657766
java.runtime.version,sysinfo,,,"1.7.0_07-b11",1356601657766
java.specification.name,sysinfo,,,"Java Platform API Specification",1356601657766
java.specification.vendor,sysinfo,,,"Oracle Corporation",1356601657766
java.specification.version,sysinfo,,,"1.7",1356601657766
java.vendor,sysinfo,,,"Oracle Corporation",1356601657766
java.version,sysinfo,,,"1.7.0_07",1356601657766
java.vm.info,sysinfo,,,"mixed mode",1356601657766
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1356601657766
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356601657766
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1356601657766
java.vm.specification.version,sysinfo,,,"1.7",1356601657766
java.vm.vendor,sysinfo,,,"Oracle Corporation",1356601657766
java.vm.version,sysinfo,,,"23.3-b01",1356601657766
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1356601657873
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1356601659088
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356601664952
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1356601665598
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1356601671306
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1356601676549
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1356601678133
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1356601678865
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1356601694173
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1356601694234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601701418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601744942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601746618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601752194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601752412
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356601820059
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601880119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601882144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601884178
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356601884463
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1356601884851
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1356601885149
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1356601885164
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1356601885179
